Protocol name,Organisation,Year of protocol
50 TissueCollection,"University of California, Davis (USA)",2016
ATAC Seq DNA Isolation and Tagmentation Frozen Muscle Tissue,"Roslin Institute (Edinburgh, UK)",2020
ATAC-Seq DNA Isolation and Tagmentation Cryopreserved Muscle Nuclei Preparations,"Roslin Institute (Edinburgh, UK)",2020
ATAC-Seq Library Preparation and Size Selection,"Roslin Institute (Edinburgh, UK)",2020
ATAC-seq AG v1,French National Institute for Agricultural Research (France),2016
Blood Leukocyte Isolation,"Roslin Institute (Edinburgh, UK)",2016
Bovine FAANG fetal tissue collection,University of Idaho (USA),2018
Cattle Mammary Gland Sample Collection Protocol,Texas A&M University (USA),2018
ChIP swine immune cells,Iowa State University (USA),2019
Collection And Transport Tissue Cattle Sampling,University of Alberta (Canada),2021
Collection of Blood or Nasal Swabs or Ear Tissue for Animal Genotyping,"Roslin Institute (Edinburgh, UK)",2016
Collection of tissue samples for ATAC-Seq and RNA-Seq from large animals,"Roslin Institute (Edinburgh, UK)",2020
Collection of tissue samples for ATAC-Seq and RNA-Seq from large animals,"Roslin Institute (Edinburgh, UK)",2020
CryofreezingTissue,"Department of Economic Development, Jobs, Transport and Resources (Bundoora, Australia)",2016
CryofreezingTissue,University of Queensland (Australia),20161021
CryofreezingTissueSsamples,FBNGenomePhysiology,2016
Cryopreservation of Nuclei for ATACSeq using GentleMACS,"Roslin Institute (Edinburgh, UK)",2020
Cryopreservation of Nuclei for ATACSeq using GentleMACS,"Roslin Institute (Edinburgh, UK)",2020
Culturing macrophages from bone marrow PBMCs and bronchoalveolar lavage,"Roslin Institute (Edinburgh, UK)",2016
Dissection of Brain Tissue from Large Animals,"Roslin Institute (Edinburgh, UK)",2016
Dissection of Cardiovascular Tissues from Large Animals,"Roslin Institute (Edinburgh, UK)",2016
Dissection of Embryonic and Female Reproductive Tissues from Large Animals,"Roslin Institute (Edinburgh, UK)",2016
Equine whole animal collection,"University of California, Davis (USA)",2018
FRAGENCODE mRNA-seq library preparation,French National Institute for Agricultural Research (France),2021
GENESWITCH D30 FETUS POOLING,French National Institute for Agricultural Research (France),2020
GENESWITCH D30 FETUS SAMPLING,French National Institute for Agricultural Research (France),2020
GENESWITCH D70 FETUS SAMPLING,French National Institute for Agricultural Research (France),2020
GENESWITCH E15 EMBRYO SAMPLING,"Roslin Institute (Edinburgh, UK)",2020
GENESWITCH E8 EMBRYO POOLING,"Roslin Institute (Edinburgh, UK)",2020
GENESWITCH E8 EMBRYO SAMPLING,"Roslin Institute (Edinburgh, UK)",2020
