Title                                                                                                                                                                                                                                                                   | Journal                                         | Year | Dataset source
Understanding PRRSV infection in porcine lung based on genome-wide transcriptome response identified by deep sequencing.                                                                                                                                                | PLoS One                                        | 2010 | All           
Characterization of the equine skeletal muscle transcriptome identifies novel functional responses to exercise training.                                                                                                                                                | BMC Genomics                                    | 2010 | All           
Comparison of transcriptomic landscapes of bovine embryos using RNA-Seq.                                                                                                                                                                                                | BMC Genomics                                    | 2010 | All           
New methods for next generation sequencing based microRNA expression profiling.                                                                                                                                                                                         | BMC Genomics                                    | 2010 | All           
Aberrant host immune response induced by highly virulent PRRSV identified by digital gene expression tag profiling.                                                                                                                                                     | BMC Genomics                                    | 2010 | All           
A systematic analysis of the skeletal muscle miRNA transcriptome of chicken varieties with divergent skeletal muscle growth identifies novel miRNAs and differentially expressed miRNAs.                                                                                | BMC Genomics                                    | 2011 | All           
True single-molecule DNA sequencing of a pleistocene horse bone.                                                                                                                                                                                                        | Genome Res                                      | 2011 | All           
Exploring the gonad transcriptome of two extreme male pigs with RNA-seq.                                                                                                                                                                                                | BMC Genomics                                    | 2011 | All           
Global assessment of genomic variation in cattle by genome resequencing and high-throughput genotyping.                                                                                                                                                                 | BMC Genomics                                    | 2011 | All           
Rotavirus nonstructural protein 1 antagonizes innate immune response by interacting with retinoic acid inducible gene I.                                                                                                                                                | Virol J                                         | 2011 | All           
Characterization and comparison of the leukocyte transcriptomes of three cattle breeds.                                                                                                                                                                                 | PLoS One                                        | 2012 | All           
A cross-species analysis of microRNAs in the developing avian face.                                                                                                                                                                                                     | PLoS One                                        | 2012 | All           
Avian resistance to Campylobacter jejuni colonization is associated with an intestinal immunogene expression signature identified by mRNA sequencing.                                                                                                                   | PLoS One                                        | 2012 | All           
Lactation-related microRNA expression profiles of porcine breast milk exosomes.                                                                                                                                                                                         | PLoS One                                        | 2012 | All           
Identification of avian W-linked contigs by short-read sequencing.                                                                                                                                                                                                      | BMC Genomics                                    | 2012 | All           
Random X inactivation in the mule and horse placenta.                                                                                                                                                                                                                   | Genome Res                                      | 2012 | All           
RNA-seq analysis of differential gene expression in liver from lactating dairy cows divergent in negative energy balance.                                                                                                                                               | BMC Genomics                                    | 2012 | All           
Improving ancient DNA read mapping against modern reference genomes.                                                                                                                                                                                                    | BMC Genomics                                    | 2012 | All           
Identification of novel and differentially expressed MicroRNAs of dairy goat mammary gland tissues using solexa sequencing and bioinformatics.                                                                                                                          | PLoS One                                        | 2012 | All           
Marek's disease virus infection induces widespread differential chromatin marks in inbred chicken lines.                                                                                                                                                                | BMC Genomics                                    | 2012 | All           
An atlas of DNA methylomes in porcine adipose and muscle tissues.                                                                                                                                                                                                       | Nat Commun                                      | 2012 | All           
A systematic analysis of miRNA transcriptome in Marek's disease virus-induced lymphoma reveals novel and differentially expressed miRNAs.                                                                                                                               | PLoS One                                        | 2012 | All           
Mutations in DMRT3 affect locomotion in horses and spinal circuit function in mice.                                                                                                                                                                                     | Nature                                          | 2012 | All           
Comparative transcriptome profiling of dairy goat microRNAs from dry period and peak lactation mammary gland tissues.                                                                                                                                                   | PLoS One                                        | 2012 | All           
Global endometrial transcriptomic profiling: transient immune activation precedes tissue proliferation and repair in healthy beef cows.                                                                                                                                 | BMC Genomics                                    | 2012 | All           
Expression profiles of microRNAs from lactating and non-lactating bovine mammary glands and identification of miRNA related to lactation.                                                                                                                               | BMC Genomics                                    | 2012 | All           
Deep sequencing reveals abundant noncanonical retroviral microRNAs in B-cell leukemia/lymphoma.                                                                                                                                                                         | Proc Natl Acad Sci U S A                        | 2013 | All           
Stallion sperm transcriptome comprises functionally coherent coding and regulatory RNAs as revealed by microarray analysis and RNA-seq.                                                                                                                                 | PLoS One                                        | 2013 | All           
Transcriptomic analysis of the stress response to weaning at housing in bovine leukocytes using RNA-seq technology.                                                                                                                                                     | BMC Genomics                                    | 2012 | All           
Next generation sequencing reveals the expression of a unique miRNA profile in response to a gram-positive bacterial infection.                                                                                                                                         | PLoS One                                        | 2013 | All           
Butyrate Induced IGF2 Activation Correlated with Distinct Chromatin Signatures Due to Histone Modification.                                                                                                                                                             | Gene Regul Syst Bio                             | 2013 | All           
Whole-transcriptome, high-throughput RNA sequence analysis of the bovine macrophage response to Mycobacterium bovis infection in vitro.                                                                                                                                 | BMC Genomics                                    | 2013 | All           
RNA deep sequencing reveals novel candidate genes and polymorphisms in boar testis and liver tissues with divergent androstenone levels.                                                                                                                                | PLoS One                                        | 2013 | All           
Genome-wide association analysis of avian resistance to Campylobacter jejuni colonization identifies risk locus spanning the CDH13 gene.                                                                                                                                | G3 (Bethesda)                                   | 2013 | All           
Spatial transcriptional profile of the chick and mouse endocardial cushions identify novel regulators of endocardial EMT in vitro.                                                                                                                                      | J Mol Cell Cardiol                              | 2013 | All           
RNA-seq analysis of single bovine blastocysts.                                                                                                                                                                                                                          | BMC Genomics                                    | 2013 | All           
An ancient transcription factor initiates the burst of piRNA production during early meiosis in mouse testes.                                                                                                                                                           | Mol Cell                                        | 2013 | All           
Deep sequencing of the transcriptome reveals inflammatory features of porcine visceral adipose tissue.                                                                                                                                                                  | Int J Biol Sci                                  | 2013 | All           
Peeling back the evolutionary layers of molecular mechanisms responsive to exercise-stress in the skeletal muscle of the racing horse.                                                                                                                                  | DNA Res                                         | 2013 | All           
Comparative Transcriptome Analysis of Adipose Tissues Reveals that ECM-Receptor Interaction Is Involved in the Depot-Specific Adipogenesis in Cattle.                                                                                                                   | PLoS One                                        | 2013 | All           
Paternally expressed genes predominate in the placenta.                                                                                                                                                                                                                 | Proc Natl Acad Sci U S A                        | 2013 | All           
Genome sequence and comparative analysis of Avibacterium paragallinarum.                                                                                                                                                                                                | Bioinformation                                  | 2013 | All           
Deep sequencing reveals predominant expression of miR-21 amongst the small non-coding RNAs in retinal microvascular endothelial cells.                                                                                                                                  | J Cell Biochem                                  | 2012 | All           
Knockdown of CDKN1C (p57(kip2)) and PHLDA2 results in developmental changes in bovine pre-implantation embryos.                                                                                                                                                         | PLoS One                                        | 2013 | All           
Analysis of unannotated equine transcripts identified by mRNA sequencing.                                                                                                                                                                                               | PLoS One                                        | 2013 | All           
Genome-wide patterns of genetic variation in two domestic chickens.                                                                                                                                                                                                     | Genome Biol Evol                                | 2013 | All           
MicroRNA expression profiles in avian haemopoietic cells.                                                                                                                                                                                                               | Front Genet                                     | 2013 | All           
Effect of maternal methionine supplementation on the transcriptome of bovine preimplantation embryos.                                                                                                                                                                   | PLoS One                                        | 2013 | All           
Epigenomic annotation of enhancers predicts transcriptional regulators of human neural crest.                                                                                                                                                                           | Cell Stem Cell                                  | 2012 | All           
Gene-based single nucleotide polymorphism discovery in bovine muscle using next-generation transcriptomic sequencing.                                                                                                                                                   | BMC Genomics                                    | 2013 | All           
